t,agent,event,info
0.0,1,enter,ND-022->ND-005|dt=4.2s|k=1
0.0,2,enter,ND-006->ND-012|dt=4.6s|k=1
0.0,3,no_route,ND-007
0.0,4,enter,ND-005->ND-011|dt=4.6s|k=1
1.0,1,enter,ND-022->ND-005|dt=4.2s|k=2
1.0,2,enter,ND-006->ND-012|dt=4.6s|k=2
1.0,3,no_route,ND-007
1.0,4,enter,ND-005->ND-011|dt=4.6s|k=2
2.0,1,enter,ND-022->ND-005|dt=4.2s|k=3
2.0,2,enter,ND-006->ND-012|dt=4.6s|k=3
2.0,3,no_route,ND-007
2.0,4,enter,ND-005->ND-011|dt=4.6s|k=3
3.0,1,enter,ND-022->ND-005|dt=5.1s|k=4
3.0,2,enter,ND-006->ND-012|dt=5.5s|k=4
3.0,3,no_route,ND-007
3.0,4,enter,ND-005->ND-011|dt=5.5s|k=4
4.0,1,enter,ND-022->ND-005|dt=5.9s|k=5
4.0,2,enter,ND-006->ND-012|dt=6.4s|k=5
4.0,3,no_route,ND-007
4.0,4,enter,ND-005->ND-011|dt=6.4s|k=5
5.0,1,enter,ND-022->ND-005|dt=5.9s|k=5
5.0,2,enter,ND-006->ND-012|dt=6.4s|k=5
5.0,3,no_route,ND-007
5.0,4,enter,ND-005->ND-011|dt=6.4s|k=5
6.0,1,enter,ND-022->ND-005|dt=5.9s|k=5
6.0,2,enter,ND-006->ND-012|dt=6.4s|k=5
6.0,3,no_route,ND-007
6.0,4,enter,ND-005->ND-011|dt=6.4s|k=5
7.0,1,enter,ND-022->ND-005|dt=5.9s|k=5
7.0,2,enter,ND-006->ND-012|dt=6.4s|k=5
7.0,3,no_route,ND-007
7.0,4,enter,ND-005->ND-011|dt=6.4s|k=5
8.0,1,enter,ND-022->ND-005|dt=6.8s|k=6
8.0,2,enter,ND-006->ND-012|dt=7.3s|k=6
8.0,3,no_route,ND-007
8.0,4,enter,ND-005->ND-011|dt=7.4s|k=6
9.0,1,enter,ND-022->ND-005|dt=6.8s|k=6
9.0,2,enter,ND-006->ND-012|dt=7.3s|k=6
9.0,3,no_route,ND-007
9.0,4,enter,ND-005->ND-011|dt=7.4s|k=6
10.0,1,enter,ND-022->ND-005|dt=6.8s|k=6
