epoch_ms,frame,t,algo,profile,safe_nodes,path_len,cost,exit_count,note
1759262321014,0,0.00,astar,GENERAL,80,15,57.901,1,
1759262321132,1,0.50,astar,GENERAL,80,15,57.901,1,
1759262321203,2,1.00,astar,GENERAL,80,15,57.901,1,
1759262321271,3,1.50,astar,GENERAL,80,15,57.901,1,
1759262321335,4,2.00,astar,GENERAL,80,15,57.901,1,
1759262321401,5,2.50,astar,GENERAL,80,15,57.901,1,
1759262321467,6,3.00,astar,GENERAL,80,15,57.901,1,
1759262321533,7,3.50,astar,GENERAL,80,15,57.901,1,
1759262321603,8,4.00,astar,GENERAL,80,15,57.901,1,
1759262321677,9,4.50,astar,GENERAL,80,15,57.901,1,
1759262321749,10,5.00,astar,GENERAL,80,15,57.901,1,
1759262321824,11,5.50,astar,GENERAL,80,15,57.901,1,
1759262321895,12,6.00,astar,GENERAL,80,15,57.901,1,
1759262321967,13,6.50,astar,GENERAL,80,15,57.901,1,
1759262322038,14,7.00,astar,GENERAL,80,15,57.901,1,
1759262322140,15,7.50,astar,GENERAL,80,15,57.901,1,
1759262322218,16,8.00,astar,GENERAL,80,15,57.901,1,
1759262322287,17,8.50,astar,GENERAL,80,15,57.901,1,
1759262322359,18,9.00,astar,GENERAL,80,15,57.901,1,
1759262322424,19,9.50,astar,GENERAL,80,15,57.901,1,
1759262322487,20,10.00,astar,GENERAL,80,15,57.901,1,
1759262322554,21,10.50,astar,GENERAL,80,15,57.936,1,
1759262322619,22,11.00,astar,GENERAL,80,15,57.997,1,
1759262322685,23,11.50,astar,GENERAL,80,15,58.074,1,
1759262322750,24,12.00,astar,GENERAL,80,15,58.164,1,
1759262322816,25,12.50,astar,GENERAL,80,15,58.263,1,
1759262322886,26,13.00,astar,GENERAL,80,15,58.367,1,
1759262322961,27,13.50,astar,GENERAL,80,15,58.476,1,
1759262323028,28,14.00,astar,GENERAL,80,15,58.587,1,
1759262323100,29,14.50,astar,GENERAL,80,15,58.700,1,
1759262323183,30,15.00,astar,GENERAL,80,15,58.815,1,
1759262323258,31,15.50,astar,GENERAL,80,15,58.931,1,
1759262323324,32,16.00,astar,GENERAL,79,15,60.051,1,
1759262323392,33,16.50,astar,GENERAL,79,15,60.051,1,
1759262323468,34,17.00,astar,GENERAL,79,15,60.051,1,
1759262323546,35,17.50,astar,GENERAL,79,15,60.051,1,
1759262323627,36,18.00,astar,GENERAL,79,15,60.051,1,
1759262323695,37,18.50,astar,GENERAL,79,15,60.051,1,
1759262323762,38,19.00,astar,GENERAL,79,15,60.051,1,
1759262323826,39,19.50,astar,GENERAL,79,15,60.051,1,
1759262323894,40,20.00,astar,GENERAL,79,15,60.051,1,
1759262323959,41,20.50,astar,GENERAL,79,15,60.051,1,
1759262324024,42,21.00,astar,GENERAL,79,15,60.051,1,
1759262324090,43,21.50,astar,GENERAL,79,15,60.051,1,
1759262324157,44,22.00,astar,GENERAL,79,15,60.051,1,
1759262324223,45,22.50,astar,GENERAL,79,15,60.051,1,
1759262324287,46,23.00,astar,GENERAL,79,15,60.051,1,
1759262324352,47,23.50,astar,GENERAL,79,15,60.051,1,
1759262324415,48,24.00,astar,GENERAL,78,15,60.051,1,
1759262324481,49,24.50,astar,GENERAL,78,15,60.051,1,
1759262324544,50,25.00,astar,GENERAL,78,15,60.051,1,
1759262324609,51,25.50,astar,GENERAL,78,15,60.051,1,
1759262324673,52,26.00,astar,GENERAL,78,15,60.051,1,
1759262324740,53,26.50,astar,GENERAL,78,15,60.051,1,
1759262324804,54,27.00,astar,GENERAL,78,15,60.051,1,
1759262324870,55,27.50,astar,GENERAL,78,15,60.051,1,
1759262324935,56,28.00,astar,GENERAL,78,15,60.051,1,
1759262324998,57,28.50,astar,GENERAL,78,15,60.051,1,
1759262325063,58,29.00,astar,GENERAL,78,15,60.051,1,
1759262325130,59,29.50,astar,GENERAL,78,15,60.051,1,
1759262325214,60,30.00,astar,GENERAL,78,15,60.051,1,
1759262325282,61,30.50,astar,GENERAL,78,15,60.051,1,
1759262325348,62,31.00,astar,GENERAL,78,15,60.051,1,
1759262325412,63,31.50,astar,GENERAL,78,15,60.051,1,
1759262325477,64,32.00,astar,GENERAL,75,15,60.051,1,
1759262325541,65,32.50,astar,GENERAL,75,15,60.051,1,
1759262325607,66,33.00,astar,GENERAL,75,15,60.051,1,
1759262325673,67,33.50,astar,GENERAL,75,15,60.051,1,
1759262325743,68,34.00,astar,GENERAL,75,15,60.051,1,
1759262325813,69,34.50,astar,GENERAL,75,15,60.051,1,
1759262325879,70,35.00,astar,GENERAL,75,15,60.051,1,
1759262325945,71,35.50,astar,GENERAL,75,15,60.051,1,
1759262326007,72,36.00,astar,GENERAL,75,15,60.051,1,
1759262326071,73,36.50,astar,GENERAL,75,15,60.051,1,
1759262326133,74,37.00,astar,GENERAL,75,15,60.051,1,
1759262326197,75,37.50,astar,GENERAL,75,15,60.051,1,
1759262326260,76,38.00,astar,GENERAL,75,15,60.051,1,
1759262326325,77,38.50,astar,GENERAL,75,15,60.051,1,
1759262326389,78,39.00,astar,GENERAL,75,15,60.051,1,
1759262326455,79,39.50,astar,GENERAL,75,15,60.051,1,
1759262326518,80,40.00,astar,GENERAL,75,15,60.051,1,
1759262326581,81,40.50,astar,GENERAL,75,15,60.051,1,
1759262326645,82,41.00,astar,GENERAL,75,15,60.051,1,
1759262326711,83,41.50,astar,GENERAL,75,15,60.051,1,
1759262326774,84,42.00,astar,GENERAL,75,15,60.051,1,
1759262326837,85,42.50,astar,GENERAL,75,15,60.166,1,
1759262326905,86,43.00,astar,GENERAL,75,15,60.361,1,
1759262326971,87,43.50,astar,GENERAL,75,15,60.612,1,
