Step,AgenteID,Evento,Valor,Pos_X,Pos_Y
1,7,CAMBIO_RUTA,Puerta_4->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,11.0,14.5
1,4,CAMBIO_RUTA,Puerta_7->Habitacion_5->Puerta_6->Habitacion_1->Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,15.0,1.5
1,2,CAMBIO_RUTA,Habitacion_1->Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,3.0,8.0
1,1,CAMBIO_RUTA,Habitacion_1->Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,4.0,15.0
1,5,CAMBIO_RUTA,Puerta_7->Habitacion_5->Puerta_6->Habitacion_1->Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,16.0,0.0
1,6,CAMBIO_RUTA,Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,10.0,9.5
1,9,CAMBIO_RUTA,Puerta_5->Habitacion_4->SALIDA_2,16.0,10.5
1,3,CAMBIO_RUTA,Puerta_6->Habitacion_1->Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,4.0,2.0
1,8,CAMBIO_RUTA,Habitacion_3->Puerta_5->Habitacion_4->SALIDA_2,16.5,13.5
39,9,EVACUACION_COMPLETA,Tiempo: 39,17.148920162339408,7.5481564280728355
76,6,EVACUACION_COMPLETA,Tiempo: 76,17.132041230597892,7.3845776378751165
103,7,EVACUACION_COMPLETA,Tiempo: 103,17.055962750340562,7.420387903499347
104,SYSTEM,FUEGO_CREADO,"Pos: 9.465690322580645,0.39185972980741646",9.465690322580645,0.39185972980741646
105,8,RECALCULO,Fuego detectado,16.183839609887638,11.09197305576836
105,8,CAMBIO_RUTA,Puerta_5->Habitacion_4->SALIDA_2,16.183839609887638,11.09197305576836
105,3,RECALCULO,Fuego detectado,10.514799427827898,8.309395226185677
105,3,CAMBIO_RUTA,Puerta_3->Habitacion_4->SALIDA_2,10.514799427827898,8.309395226185677
105,4,RECALCULO,Fuego detectado,4.8326654049686795,3.538126637094093
105,4,CAMBIO_RUTA,Puerta_6->Habitacion_1->Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,4.8326654049686795,3.538126637094093
105,1,RECALCULO,Fuego detectado,9.648989327092897,8.176366031642521
105,1,CAMBIO_RUTA,Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,9.648989327092897,8.176366031642521
105,5,RECALCULO,Fuego detectado,7.4993616602557776,0.9242352182512321
105,5,CAMBIO_RUTA,Puerta_9->Puerta_7->Habitacion_5->Puerta_6->Habitacion_1->Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,7.4993616602557776,0.9242352182512321
105,2,RECALCULO,Fuego detectado,13.21290532890808,8.674144072812423
105,2,CAMBIO_RUTA,Puerta_3->Habitacion_4->SALIDA_2,13.21290532890808,8.674144072812423
147,2,EVACUACION_COMPLETA,Tiempo: 147,17.07459443655663,7.387648545281407
148,SYSTEM,FUEGO_CREADO,"Pos: 16.49982365591398,13.425490083357287",16.49982365591398,13.425490083357287
149,1,RECALCULO,Fuego detectado,13.921344744587238,8.494568461250479
149,1,CAMBIO_RUTA,Puerta_3->Habitacion_4->SALIDA_2,13.921344744587238,8.494568461250479
149,5,RECALCULO,Fuego detectado,10.448258250291618,0.9045432898973744
149,5,CAMBIO_RUTA,Puerta_7->Habitacion_5->Puerta_6->Habitacion_1->Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,10.448258250291618,0.9045432898973744
149,4,RECALCULO,Fuego detectado,6.008023133011743,6.504807890708562
149,4,CAMBIO_RUTA,Puerta_1->Habitacion_2->Puerta_3->Habitacion_4->SALIDA_2,6.008023133011743,6.504807890708562
149,8,RECALCULO,Fuego detectado,16.170017623338317,11.119871180313321
149,3,RECALCULO,Fuego detectado,14.729277022282412,8.137117983267123
149,3,CAMBIO_RUTA,Habitacion_4->SALIDA_2,14.729277022282412,8.137117983267123
162,SYSTEM,FUEGO_CREADO,"Pos: 17.056778494623657,11.213360160965797",17.056778494623657,11.213360160965797
163,3,RECALCULO,Fuego detectado,15.911942969411209,7.605165315107244
163,4,RECALCULO,Fuego detectado,7.297800466424817,7.043009983849548
163,5,RECALCULO,Fuego detectado,10.550694176520436,0.9015222197712718
163,8,RECALCULO,Fuego detectado,16.263084447146237,11.156457602744403
163,1,RECALCULO,Fuego detectado,15.181453826490504,7.8852896002804265
163,1,CAMBIO_RUTA,Habitacion_4->SALIDA_2,15.181453826490504,7.8852896002804265
174,SYSTEM,FUEGO_CREADO,"Pos: 16.3348,10.70516815176775",16.3348,10.70516815176775
175,8,RECALCULO,Fuego detectado,16.258294345631224,11.119521548641487
175,3,RECALCULO,Fuego detectado,16.990909348063525,7.392928822273903
175,4,RECALCULO,Fuego detectado,8.219672420677238,7.53298438000604
175,5,RECALCULO,Fuego detectado,10.646249623727838,0.9130323859002794
175,1,RECALCULO,Fuego detectado,16.19215259526792,7.5185562987880346
188,1,EVACUACION_COMPLETA,Tiempo: 188,17.195896177064316,7.834208732449596
192,3,EVACUACION_COMPLETA,Tiempo: 192,17.10045674899224,7.1069951682259465
276,4,EVACUACION_COMPLETA,Tiempo: 276,17.12667866532348,7.385389636322747
